artist_name,track_name,track_id,danceability,energy,acousticness,loudness,tempo,speechiness,era
Britney Spears,3,6pymOcrCnMuCWdgGVTvUgP,0.697,0.709,0.0452,-1.917,134.91,0.0455,10s
T-Pain,5 O'Clock,6j236RwzFFj4wqH2tWJNBD,0.4,0.882,0.168,-1.958,167.114,0.334,10s
Plies,Rock,0QVISdPWRllAmoDBG3DEHU,0.852,0.691,0.0375,-5.175,61.115,0.139,10s
Usher,There Goes My Baby,6IUiqtI8tE49sqGbmtrNd8,0.626,0.52,0.175,-8.077,77.468,0.0892,10s
Ellie Goulding,Something In The Way You Move,3ZCDG0nujwGfxrEmZlZoEt,0.658,0.814,0.0398,-6.157,109.004,0.0493,10s
Erykah Badu,Window Seat,74HYrIbnpc2xKCTenv5qKM,0.643,0.535,0.648,-6.795,82.193,0.0941,10s
Janet Jackson,Made For Now,2Ul7yRZaxGcWCzQg7m632Z,0.76,0.888,0.00307,-3.449,115.705,0.124,10s
Elder Island,Black Fur,3Ipgo2twyvBySMwsTzunlH,0.758,0.49,0.357,-7.98,119.969,0.032,10s
TLC,What About Your Friends,63PIgPkDf3rswlU4ZWCYAM,0.744,0.851,0.0267,-10.108,105.882,0.049,90s
Mariah Carey,Vision of Love,0gLQ6jhJsyYfl7PrD1RZ7X,0.256,0.463,0.442,-10.959,205.362,0.0382,90s
Jennifer Lopez,Booty,6dshconh2KBbGxVh7GtSTC,0.714,0.951,0.00344,-4.151,128.964,0.0533,10s
Lloyd,Lay It Down,0npGoOENjn7vVvIMmvWekQ,0.524,0.793,0.0208,-5.051,156.052,0.0629,10s
Ne-Yo,One In A Million,03ZtlmARAMWhAgZSIs6Fes,0.763,0.794,0.122,-6.078,99.999,0.0364,10s
